,brand_id,Brand
0,1, 澳洲 JAMSHED
1,2,A-TASTE
2,3,A.M.G
3,4,ABTEI HIMMEROD
4,5,ACE
5,6,AGF
6,7,AJISEN
7,8,AKITAKOMACHI
8,9,AKYABEEB
9,10,ALCE NERO
10,11,ALLEES CANTE
11,12,ALLRITE
12,13,ANTU
13,14,AOMORI MASSHIGURA
14,15,APOTHIC
15,16,ARDOINO
16,17,AUVERNOU
17,18,AVESANI
18,19,AZAHARA
19,20,AZURE
20,21,BABYDOLL
21,22,BADAYACHAE
22,23,BALBI SOPRANI
23,24,BALVENIE
24,25,BAR HARBOR
25,26,BARLEAN'S
26,27,BARON DE RICHEMONT
27,28,BARS
28,29,BAY SIDE CAPTAIN
29,30,BAYERN
30,31,BE-KIND
31,32,BEBE COOK
32,33,BECKERS BESTER
33,34,BEECHWORTH
34,35,BELGIAN BUTTERS
35,36,BELLA TAVOLA
36,37,BELVEDERE
37,38,BENTO
38,39,BETTER THAN FOODS
39,40,BICKFORD'S
40,41,BIHOPHAR
41,42,BIONA
42,43,BITTER TRUTH
43,44,BJORG
44,45,BLUE ELEPHANT
45,46,BLUE LIGHT
46,47,BOB'S RED MILL
47,48,BODDINGTONS
48,49,BONNE MAMAN
49,50,BORG'S
50,51,BORGGARDENS
51,52,BORGO SALCETINO
52,53,BORN ROSE
53,54,BRANSTON
54,55,BRETS
55,56,BREW & DRIP
56,57,BROAD OAK
57,58,BROOKLYN
58,59,BT21
59,60,BULMAWANG
60,61,BURTS
61,62,BUSHELLS
62,63,BUTCHER CHOICE
63,64,CA VIENT D'ICI
64,65,CADBURY UK
65,66,CAFEDIRECT
66,67,CALBEE X LEE KUM KEE
67,68,CALIFORNIA SUNSHINE
68,69,CALVET
69,70,CAMELLIA TREASURE
70,71,CAMPARI
71,72,CAPE MENTELLE
72,73,CARB X
73,74,CARMANS
74,75,CASA ROMANTICA
75,76,CASALARE
76,77,CASILLERO DEL DIABLO
77,78,CASINO DOODINGUES
78,79,CASTILLO ALBAI
79,80,CATALO
80,81,CAVALIERE DORO
81,82,CAVENDISH
82,83,CAWSTON
83,84,CEBU
84,85,CELESTIAL
85,86,CH BEL AIR
86,87,CH BRANDEY
87,88,CH CARCANIEUX
88,89,CH CL MOULIN PONTET
89,90,CH FERRANDE
90,91,CH HAUT PEYRUGUET
91,92,CH LIEUJEAN
92,93,CH LIVERSAN
93,94,CH ROUGI
94,95,CH SIRAN
95,96,CH TOUR PRIGNAC
96,97,CH. BELLES EAUX
97,98,CH. DE COMBES
98,99,CHACHA
99,100,CHAI LI WON
100,101,CHANDON
101,102,CHAP MOINES
102,103,CHAP POTENSAC
103,104,CHAPEL HILL
104,105,CHARMES G CORBIN
105,106,CHATEAU CILORN
106,107,CHEETOS
107,108,CHEF KIM
108,109,CHUM CHURUM
109,110,CHUN-MEI
110,111,CHUNG HA
111,112,CJ
112,113,CJ BIBIGO
113,114,CJ白雪
114,115,CLARENDELLE
115,116,CLEMENT ST JEAN
116,117,CLIPPER
117,118,COBRAM
118,119,COBS
119,120,COCK
120,121,COCOMAX
121,122,COCONUT KING
122,123,COCOWAY
123,124,COME IN
124,125,CON DE ORIZA
125,126,CORONA EXTRA
126,127,COURVOISIER
127,128,CP
128,129,CP SELECTION
129,130,CRAB KING NOODLE
130,131,CRABBIE'S
131,132,CRETORS
132,133,D'ESCLANS
133,134,DAIONI
134,135,DAISHO
135,136,DANISH FARM
136,137,DAR VIDA (HUG)
137,138,DARK HORSE
138,139,DAUCY
139,140,DBR LAFITE
140,141,DCH
141,142,DE CECCO
142,143,DECORIA
143,144,DEILICIOUS FEAST
144,145,DELICIOUS
